PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=97.6 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=56.2 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=76.3 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=93.2 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=91.8 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=68.1 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=123 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=88.8 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=91.0 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=132 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=82.0 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=90.3 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=74.0 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=54.2 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=90.4 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=140 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=88.4 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=110 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=92.7 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=79.6 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=80.0 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=93.0 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=115 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=111 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=91.4 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=101 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=46.9 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=65.2 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=103 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=111 ms
64 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=78.2 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=118 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=123 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=74.5 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=72.3 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=122 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=80.8 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=108 ms
64 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=102 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=72.5 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=71.2 ms
64 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=86.2 ms
64 bytes from 10.0.0.1: icmp_seq=43 ttl=64 time=66.4 ms
64 bytes from 10.0.0.1: icmp_seq=44 ttl=64 time=163 ms
64 bytes from 10.0.0.1: icmp_seq=45 ttl=64 time=73.9 ms
64 bytes from 10.0.0.1: icmp_seq=46 ttl=64 time=83.6 ms
64 bytes from 10.0.0.1: icmp_seq=47 ttl=64 time=76.4 ms
64 bytes from 10.0.0.1: icmp_seq=48 ttl=64 time=76.4 ms
64 bytes from 10.0.0.1: icmp_seq=49 ttl=64 time=78.2 ms
64 bytes from 10.0.0.1: icmp_seq=50 ttl=64 time=148 ms

--- 10.0.0.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49094ms
rtt min/avg/max/mdev = 46.850/92.200/163.024/23.790 ms
