PING 10.0.0.14 (10.0.0.14) 56(84) bytes of data.
64 bytes from 10.0.0.14: icmp_seq=1 ttl=63 time=116 ms
64 bytes from 10.0.0.14: icmp_seq=2 ttl=63 time=138 ms
64 bytes from 10.0.0.14: icmp_seq=3 ttl=63 time=130 ms
64 bytes from 10.0.0.14: icmp_seq=4 ttl=63 time=32.6 ms
64 bytes from 10.0.0.14: icmp_seq=5 ttl=63 time=110 ms
64 bytes from 10.0.0.14: icmp_seq=6 ttl=63 time=124 ms
64 bytes from 10.0.0.14: icmp_seq=7 ttl=63 time=99.1 ms
64 bytes from 10.0.0.14: icmp_seq=8 ttl=63 time=85.5 ms
64 bytes from 10.0.0.14: icmp_seq=9 ttl=63 time=113 ms
64 bytes from 10.0.0.14: icmp_seq=10 ttl=63 time=158 ms
64 bytes from 10.0.0.14: icmp_seq=11 ttl=63 time=96.1 ms
64 bytes from 10.0.0.14: icmp_seq=12 ttl=63 time=118 ms
64 bytes from 10.0.0.14: icmp_seq=13 ttl=63 time=78.4 ms
64 bytes from 10.0.0.14: icmp_seq=14 ttl=63 time=87.6 ms
64 bytes from 10.0.0.14: icmp_seq=15 ttl=63 time=229 ms
64 bytes from 10.0.0.14: icmp_seq=16 ttl=63 time=178 ms
64 bytes from 10.0.0.14: icmp_seq=17 ttl=63 time=112 ms
64 bytes from 10.0.0.14: icmp_seq=18 ttl=63 time=147 ms
64 bytes from 10.0.0.14: icmp_seq=19 ttl=63 time=133 ms
64 bytes from 10.0.0.14: icmp_seq=20 ttl=63 time=72.3 ms
64 bytes from 10.0.0.14: icmp_seq=21 ttl=63 time=220 ms
64 bytes from 10.0.0.14: icmp_seq=22 ttl=63 time=76.2 ms
64 bytes from 10.0.0.14: icmp_seq=23 ttl=63 time=127 ms
64 bytes from 10.0.0.14: icmp_seq=24 ttl=63 time=66.7 ms
64 bytes from 10.0.0.14: icmp_seq=25 ttl=63 time=115 ms
64 bytes from 10.0.0.14: icmp_seq=26 ttl=63 time=33.1 ms
64 bytes from 10.0.0.14: icmp_seq=27 ttl=63 time=118 ms
64 bytes from 10.0.0.14: icmp_seq=28 ttl=63 time=115 ms
64 bytes from 10.0.0.14: icmp_seq=29 ttl=63 time=53.5 ms
64 bytes from 10.0.0.14: icmp_seq=30 ttl=63 time=134 ms
64 bytes from 10.0.0.14: icmp_seq=31 ttl=63 time=59.2 ms
64 bytes from 10.0.0.14: icmp_seq=32 ttl=63 time=125 ms
64 bytes from 10.0.0.14: icmp_seq=33 ttl=63 time=142 ms
64 bytes from 10.0.0.14: icmp_seq=34 ttl=63 time=127 ms
64 bytes from 10.0.0.14: icmp_seq=35 ttl=63 time=57.7 ms
64 bytes from 10.0.0.14: icmp_seq=36 ttl=63 time=90.5 ms
64 bytes from 10.0.0.14: icmp_seq=37 ttl=63 time=109 ms
64 bytes from 10.0.0.14: icmp_seq=38 ttl=63 time=148 ms
64 bytes from 10.0.0.14: icmp_seq=39 ttl=63 time=117 ms
64 bytes from 10.0.0.14: icmp_seq=40 ttl=63 time=46.1 ms
64 bytes from 10.0.0.14: icmp_seq=41 ttl=63 time=140 ms
64 bytes from 10.0.0.14: icmp_seq=42 ttl=63 time=96.0 ms
64 bytes from 10.0.0.14: icmp_seq=43 ttl=63 time=92.4 ms
64 bytes from 10.0.0.14: icmp_seq=44 ttl=63 time=251 ms
64 bytes from 10.0.0.14: icmp_seq=45 ttl=63 time=210 ms
64 bytes from 10.0.0.14: icmp_seq=46 ttl=63 time=111 ms
64 bytes from 10.0.0.14: icmp_seq=47 ttl=63 time=132 ms
64 bytes from 10.0.0.14: icmp_seq=48 ttl=63 time=118 ms
64 bytes from 10.0.0.14: icmp_seq=49 ttl=63 time=161 ms
64 bytes from 10.0.0.14: icmp_seq=50 ttl=63 time=102 ms

--- 10.0.0.14 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49195ms
rtt min/avg/max/mdev = 32.599/117.060/251.302/45.687 ms
