PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=23.6 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=21.8 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=24.2 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=18.1 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=23.4 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=26.2 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=22.6 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=19.4 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=18.5 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=23.9 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=23.3 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=24.2 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=23.1 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=22.9 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=24.7 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=19.2 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=18.6 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=21.5 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=23.0 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=25.5 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=20.3 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=24.4 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=11.6 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=18.8 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=18.4 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=16.7 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=22.4 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=23.9 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=23.2 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=19.1 ms
64 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=22.7 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=18.0 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=15.7 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=23.6 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=23.4 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=22.4 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=24.4 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=19.6 ms
64 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=23.5 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=15.4 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=23.9 ms
64 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=25.1 ms
64 bytes from 10.0.0.1: icmp_seq=43 ttl=64 time=23.6 ms
64 bytes from 10.0.0.1: icmp_seq=44 ttl=64 time=22.2 ms
64 bytes from 10.0.0.1: icmp_seq=45 ttl=64 time=24.1 ms
64 bytes from 10.0.0.1: icmp_seq=46 ttl=64 time=25.2 ms
64 bytes from 10.0.0.1: icmp_seq=47 ttl=64 time=20.5 ms
64 bytes from 10.0.0.1: icmp_seq=48 ttl=64 time=22.2 ms
64 bytes from 10.0.0.1: icmp_seq=49 ttl=64 time=23.9 ms
64 bytes from 10.0.0.1: icmp_seq=50 ttl=64 time=22.6 ms

--- 10.0.0.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49070ms
rtt min/avg/max/mdev = 11.593/21.772/26.208/2.993 ms
