PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=63 time=191 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=63 time=177 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=63 time=220 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=63 time=232 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=63 time=265 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=63 time=200 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=63 time=263 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=63 time=178 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=63 time=230 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=63 time=216 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=63 time=248 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=63 time=172 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=63 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=63 time=174 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=63 time=214 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=63 time=195 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=63 time=232 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=63 time=182 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=63 time=266 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=63 time=341 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=63 time=210 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=63 time=240 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=63 time=252 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=63 time=244 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=63 time=223 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=63 time=206 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=63 time=237 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=63 time=185 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=63 time=235 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=63 time=212 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=63 time=214 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=63 time=175 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=63 time=309 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=63 time=211 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=63 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=63 time=290 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=63 time=200 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=63 time=245 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=63 time=214 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=63 time=212 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=63 time=200 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=63 time=200 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=63 time=185 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=63 time=206 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=63 time=221 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=63 time=323 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=63 time=291 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=63 time=197 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=63 time=177 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=63 time=259 ms

--- 10.0.0.2 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49282ms
rtt min/avg/max/mdev = 165.530/222.287/341.225/39.810 ms
