PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=63 time=19.2 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=63 time=19.7 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=63 time=17.1 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=63 time=20.1 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=63 time=20.8 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=63 time=18.7 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=63 time=22.4 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=63 time=13.2 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=63 time=16.8 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=63 time=17.4 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=63 time=17.2 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=63 time=20.9 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=63 time=17.3 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=63 time=19.2 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=63 time=19.2 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=63 time=17.6 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=63 time=20.4 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=63 time=17.0 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=63 time=19.8 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=63 time=19.7 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=63 time=16.3 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=63 time=20.4 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=63 time=20.4 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=63 time=17.9 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=63 time=14.6 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=63 time=16.0 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=63 time=19.6 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=63 time=20.7 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=63 time=20.5 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=63 time=17.5 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=63 time=19.8 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=63 time=17.2 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=63 time=23.2 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=63 time=18.1 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=63 time=19.9 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=63 time=19.7 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=63 time=18.4 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=63 time=19.6 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=63 time=17.1 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=63 time=19.4 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=63 time=24.3 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=63 time=17.0 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=63 time=18.9 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=63 time=18.7 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=63 time=16.7 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=63 time=20.1 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=63 time=22.5 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=63 time=20.3 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=63 time=23.5 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=63 time=21.1 ms

--- 10.0.0.2 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49067ms
rtt min/avg/max/mdev = 13.197/19.059/24.315/2.160 ms
