PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=14.5 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=14.4 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=12.0 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=11.9 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=11.4 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=10.7 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=14.2 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=10.6 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=10.1 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=11.7 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=12.6 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=9.95 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=13.0 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=13.6 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=11.5 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=12.2 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=10.3 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=12.3 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=11.9 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=11.4 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=12.9 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=12.9 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=10.4 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=9.79 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=13.0 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=12.2 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=12.6 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=10.3 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=11.5 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=12.0 ms
64 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=13.5 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=10.1 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=13.2 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=12.6 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=9.91 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=11.3 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=10.9 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=12.6 ms
64 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=13.5 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=11.6 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=12.7 ms
64 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=11.4 ms
64 bytes from 10.0.0.1: icmp_seq=43 ttl=64 time=10.9 ms
64 bytes from 10.0.0.1: icmp_seq=44 ttl=64 time=14.6 ms
64 bytes from 10.0.0.1: icmp_seq=45 ttl=64 time=13.1 ms
64 bytes from 10.0.0.1: icmp_seq=46 ttl=64 time=12.5 ms
64 bytes from 10.0.0.1: icmp_seq=47 ttl=64 time=10.8 ms
64 bytes from 10.0.0.1: icmp_seq=48 ttl=64 time=10.3 ms
64 bytes from 10.0.0.1: icmp_seq=49 ttl=64 time=12.5 ms
64 bytes from 10.0.0.1: icmp_seq=50 ttl=64 time=14.2 ms

--- 10.0.0.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49074ms
rtt min/avg/max/mdev = 9.790/11.997/14.560/1.308 ms
