PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=6.82 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=11.8 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=3.45 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=11.7 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=9.15 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=3.84 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=3.69 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=5.60 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=9.72 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=10.7 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=10.5 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=4.55 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=10.2 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=3.75 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=5.37 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=11.5 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=10.2 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=9.63 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=13.3 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=4.91 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=7.85 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=11.2 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=10.1 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=9.47 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=9.29 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=4.02 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=11.0 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=5.20 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=9.99 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=11.7 ms
64 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=11.3 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=9.63 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=10.6 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=4.41 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=11.6 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=12.3 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=11.3 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=10.6 ms
64 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=5.34 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=12.2 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=4.54 ms
64 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=12.1 ms
64 bytes from 10.0.0.1: icmp_seq=43 ttl=64 time=9.19 ms
64 bytes from 10.0.0.1: icmp_seq=44 ttl=64 time=5.02 ms
64 bytes from 10.0.0.1: icmp_seq=45 ttl=64 time=7.71 ms
64 bytes from 10.0.0.1: icmp_seq=46 ttl=64 time=5.94 ms
64 bytes from 10.0.0.1: icmp_seq=47 ttl=64 time=9.26 ms
64 bytes from 10.0.0.1: icmp_seq=48 ttl=64 time=11.0 ms
64 bytes from 10.0.0.1: icmp_seq=49 ttl=64 time=10.3 ms
64 bytes from 10.0.0.1: icmp_seq=50 ttl=64 time=10.3 ms

--- 10.0.0.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49070ms
rtt min/avg/max/mdev = 3.445/8.694/13.327/2.913 ms
