PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=63 time=17.7 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=63 time=18.8 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=63 time=17.0 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=63 time=14.8 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=63 time=15.5 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=63 time=21.4 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=63 time=20.4 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=63 time=17.3 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=63 time=15.8 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=63 time=18.2 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=63 time=17.3 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=63 time=18.6 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=63 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=63 time=12.8 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=63 time=17.6 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=63 time=16.4 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=63 time=15.5 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=63 time=18.1 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=63 time=15.3 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=63 time=20.4 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=63 time=19.7 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=63 time=23.2 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=63 time=20.3 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=63 time=15.8 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=63 time=20.6 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=63 time=19.5 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=63 time=15.0 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=63 time=16.4 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=63 time=19.2 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=63 time=17.2 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=63 time=19.6 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=63 time=16.5 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=63 time=15.9 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=63 time=15.8 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=63 time=19.3 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=63 time=18.3 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=63 time=20.4 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=63 time=20.5 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=63 time=21.0 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=63 time=9.39 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=63 time=14.2 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=63 time=15.3 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=63 time=22.6 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=63 time=13.9 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=63 time=19.6 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=63 time=15.1 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=63 time=20.3 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=63 time=18.4 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=63 time=21.3 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=63 time=19.6 ms

--- 10.0.0.2 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49071ms
rtt min/avg/max/mdev = 9.393/17.699/23.242/2.768 ms
